Image_ID,Modality,Model,Prompt,Dice,HD95,ASD
0,Color1_000117,Colour,ST-SAM,GT_Box,0.8589919805526733,7.8102498054504395,0.8950905203819275
0,Color1_000117,Colour,ST-SAM,YOLO_Box,0.860258162021637,7.0,0.971473753452301
0,Color1_000096,Colour,ST-SAM,GT_Box,0.8990771174430847,13.928388595581055,3.6712329387664795
0,Color1_000096,Colour,ST-SAM,YOLO_Box,0.83512943983078,29.990394592285156,6.354929447174072
0,Color1_000529,Colour,ST-SAM,GT_Box,0.8114498853683472,5.099019527435303,1.2049024105072021
0,Color1_000529,Colour,ST-SAM,YOLO_Box,0.8350622653961182,27.376873016357422,3.6555771827697754
0,Color1_000665,Colour,ST-SAM,GT_Box,0.877638578414917,9.486832618713379,2.272510290145874
0,Color1_000665,Colour,ST-SAM,YOLO_Box,0.8457003235816956,39.22343063354492,1.489904761314392
0,Color1_000763,Colour,ST-SAM,GT_Box,0.9602544903755188,3.1622776985168457,0.8554960489273071
0,Color1_000763,Colour,ST-SAM,YOLO_Box,0.9190589189529419,62.72604751586914,9.305869102478027
0,Color1_000497,Colour,ST-SAM,GT_Box,0.8283008337020874,14.764822959899902,5.195651531219482
0,Color1_000497,Colour,ST-SAM,YOLO_Box,0.7783775329589844,17.464248657226562,6.67473840713501
0,Color1_000260,Colour,ST-SAM,GT_Box,0.9486528038978577,2.8284270763397217,0.8203137516975403
0,Color1_000260,Colour,ST-SAM,YOLO_Box,0.9327253699302673,9.05538558959961,0.8097901344299316
0,Color1_000659,Colour,ST-SAM,GT_Box,0.9328794479370117,3.605551242828369,0.8015528321266174
0,Color1_000659,Colour,ST-SAM,YOLO_Box,0.8868089318275452,39.607017517089844,5.438977241516113
0,Color1_000728,Colour,ST-SAM,GT_Box,0.9087421894073486,3.605551242828369,0.7668243050575256
0,Color1_000728,Colour,ST-SAM,YOLO_Box,0.8808799386024475,12.238075256347656,2.6032848358154297
0,Color1_000072,Colour,ST-SAM,GT_Box,0.9414405822753906,5.0,1.1251193284988403
0,Color1_000072,Colour,ST-SAM,YOLO_Box,0.824394941329956,63.639610290527344,11.047869682312012
0,Color1_000232,Colour,ST-SAM,GT_Box,0.8938527703285217,9.013090133666992,2.0948054790496826
0,Color1_000232,Colour,ST-SAM,YOLO_Box,0.877740204334259,30.30813217163086,1.6243643760681152
0,Color1_000241,Colour,ST-SAM,GT_Box,0.743760883808136,13.43259048461914,4.011132717132568
0,Color1_000241,Colour,ST-SAM,YOLO_Box,0.7627561092376709,68.50911712646484,10.969825744628906
0,Color1_000212,Colour,ST-SAM,GT_Box,0.9239543676376343,8.9442720413208,1.3409640789031982
0,Color1_000212,Colour,ST-SAM,YOLO_Box,0.7710520625114441,114.11809539794922,14.934773445129395
0,Color1_000243,Colour,ST-SAM,GT_Box,0.8821529150009155,7.0,2.2635083198547363
0,Color1_000243,Colour,ST-SAM,YOLO_Box,0.8708484768867493,10.049875259399414,3.340381383895874
0,Color1_000090,Colour,ST-SAM,GT_Box,0.8950369954109192,5.0,1.0077558755874634
0,Color1_000090,Colour,ST-SAM,YOLO_Box,0.8493286371231079,26.476404190063477,0.9982861280441284
0,Color1_000568,Colour,ST-SAM,GT_Box,0.9522063136100769,2.0,0.545492947101593
0,Color1_000568,Colour,ST-SAM,YOLO_Box,0.8863519430160522,98.65813446044922,12.760235786437988
0,Color1_000169,Colour,ST-SAM,GT_Box,0.917144238948822,6.299850940704346,1.6708037853240967
0,Color1_000169,Colour,ST-SAM,YOLO_Box,0.8740242123603821,13.601470947265625,3.159043550491333
0,Color1_000388,Colour,ST-SAM,GT_Box,0.9478780627250671,5.830951690673828,1.9410077333450317
0,Color1_000388,Colour,ST-SAM,YOLO_Box,0.9376364350318909,17.23851203918457,1.7267110347747803
0,Color1_000646,Colour,ST-SAM,GT_Box,0.928939163684845,3.1622776985168457,1.0066008567810059
0,Color1_000646,Colour,ST-SAM,YOLO_Box,0.9144389033317566,5.0,1.012200117111206
0,Color1_000254,Colour,ST-SAM,GT_Box,0.8529531359672546,10.0,1.880735993385315
0,Color1_000254,Colour,ST-SAM,YOLO_Box,0.6808542609214783,38.910152435302734,9.537684440612793
0,Color1_000337,Colour,ST-SAM,GT_Box,0.8523730039596558,23.28838348388672,5.475780487060547
0,Color1_000337,Colour,ST-SAM,YOLO_Box,0.8430638909339905,33.47163009643555,4.9219465255737305
0,Color1_000658,Colour,ST-SAM,GT_Box,0.9416301250457764,2.2360680103302,0.6550683975219727
0,Color1_000658,Colour,ST-SAM,YOLO_Box,0.8906839489936829,22.247697830200195,3.4237141609191895
0,Color1_000678,Colour,ST-SAM,GT_Box,0.9359351396560669,3.1622776985168457,0.8016456365585327
0,Color1_000678,Colour,ST-SAM,YOLO_Box,0.9229100942611694,9.219544410705566,0.7322711944580078
0,Color1_000363,Colour,ST-SAM,GT_Box,0.9411442875862122,2.0,0.6933194994926453
0,Color1_000363,Colour,ST-SAM,YOLO_Box,0.9344270825386047,2.8284270763397217,0.7832068204879761
0,Color1_000560,Colour,ST-SAM,GT_Box,0.953154981136322,2.0,0.6698487401008606
0,Color1_000560,Colour,ST-SAM,YOLO_Box,0.8700258731842041,71.84342193603516,9.080142974853516
0,Color1_000007,Colour,ST-SAM,GT_Box,0.900215208530426,21.095022201538086,3.938117265701294
0,Color1_000007,Colour,ST-SAM,YOLO_Box,0.8553876876831055,27.256120681762695,4.6278300285339355
0,Color1_000703,Colour,ST-SAM,GT_Box,0.9478083252906799,5.830951690673828,1.631421685218811
0,Color1_000703,Colour,ST-SAM,YOLO_Box,0.9240546226501465,8.062257766723633,2.281095504760742
0,Color1_000762,Colour,ST-SAM,GT_Box,0.9324272871017456,4.123105525970459,1.1240215301513672
