Fold,Model,Dice,IoU,Recall,Precision,HD95,ASD
0,Baseline_SAM2,0.8947252335294247,0.8129465237844491,0.9013130293806721,0.8952562416472186,12.570403168453787,2.599350571410318
1,Baseline_SAM2,0.9113099634450627,0.8394346684302993,0.9261986647070011,0.9020744909934025,14.465028937662236,2.8760980635145774
2,Baseline_SAM2,0.846059521133809,0.739904850814154,0.8714592415967606,0.834109704505337,15.957431234959243,4.196599796360386
3,Baseline_SAM2,0.8709871985916133,0.7783097457382282,0.8793287026303044,0.873031823458587,16.36202690649477,3.7793139969710237
4,Baseline_SAM2,0.8711918935258972,0.7767799940737995,0.925610102380206,0.8313073760424903,15.369755997574439,3.598876683069761
0,LoRA_SAM2,0.8815699639954488,0.7925204114462736,0.8991239497254926,0.8733014906896751,13.849602362208993,3.0315485358999594
1,LoRA_SAM2,0.9014181668039338,0.8232516848295607,0.9301693637545759,0.8806288487901099,16.559678550531615,3.5064821278614375
2,LoRA_SAM2,0.8326189587908406,0.7205094166945302,0.858884577873948,0.8237144021671599,16.837785705384135,4.854620163747366
3,LoRA_SAM2,0.853187422288628,0.7511191657943918,0.8520060022793516,0.8687007715050097,16.9740193732777,4.24493423952079
4,LoRA_SAM2,0.8578266774850549,0.7569549182998894,0.910962122621091,0.8207433207648084,16.36254594350477,4.02742092844699
0,MSA_SAM2,0.9035399614713198,0.8270779485698708,0.9064086400827094,0.907241245477359,12.840498012655988,2.538038575885831
1,MSA_SAM2,0.916398368965103,0.8479606157337689,0.9322389469314951,0.906019813775811,15.125337092580121,2.8240814526596383
2,MSA_SAM2,0.8540864322584231,0.7516995967286504,0.8935472764586524,0.8287390906360346,15.821598340419756,4.1567301922950195
3,MSA_SAM2,0.8783092575802856,0.789184940549088,0.8706191797210491,0.8963172395884341,16.254434627701777,3.75624282215693
4,MSA_SAM2,0.8842765533621494,0.7970574881328061,0.9251082209033018,0.8542356795486307,14.670287529340632,3.1913295334776848
0,ST-SAM,0.9075011725417381,0.8336832383534262,0.9062320689672527,0.9151429098315459,12.614618474622132,2.44921218941029
1,ST-SAM,0.9211055574795375,0.8558686505963045,0.9381989126432778,0.9091710979695043,14.994373218148912,2.7993943751474197
2,ST-SAM,0.8670613100677155,0.7706779812661293,0.9093642684149101,0.8378265813254074,15.829106127870256,3.935240414155566
3,ST-SAM,0.8903937035338572,0.8084099818887305,0.9022246066492688,0.8881310100054527,15.085287083898272,3.1985411037939677
4,ST-SAM,0.8954360861342547,0.8150700112910216,0.9364452878754663,0.8643354762147636,13.920321255288226,2.84338690842131
