Fold,Model,Padding,Image_ID,Modality,Dice,IoU,Recall,Precision,HD95,ASD
0,ST-SAM,-5,Color1_000297,Colour,0.9281749725341797,0.8659762144088745,0.8772077375557873,0.9854301342125594,8.599406242370605,1.4975944757461548
0,ST-SAM,-5,Color1_000115,Colour,0.9032555222511292,0.8235787749290466,0.9076130054311904,0.8989396516692054,9.864045143127441,0.9987720251083374
0,ST-SAM,-5,Color1_000379,Colour,0.9215884208679199,0.8545795679092407,0.8675910820508707,0.9827533106727169,6.0,1.0738006830215454
0,ST-SAM,-5,Color1_000820,Colour,0.849102258682251,0.7377738356590271,0.7903137788826311,0.9173396673131686,7.693568706512451,1.0792156457901
0,ST-SAM,-5,Color1_000229,Colour,0.8644191026687622,0.7612131834030151,0.7929397803629575,0.9500621999377887,7.730715751647949,0.9771773219108582
0,ST-SAM,-5,Color1_000691,Colour,0.9002737402915955,0.8186344504356384,0.8552057211056742,0.950356073800149,5.830951690673828,1.0083016157150269
0,ST-SAM,-5,Color1_000160,Colour,0.850104033946991,0.7392877340316772,0.7586476449562931,0.9666334658947626,9.063591957092285,0.915264904499054
0,ST-SAM,-5,Color1_000137,Colour,0.8744825124740601,0.7769603729248047,0.821460137833866,0.9348219673482987,8.062257766723633,2.0275518894195557
0,ST-SAM,-5,Color1_000639,Colour,0.9406252503395081,0.8879060745239258,0.9395344983898339,0.9417185553390022,3.0,0.7027963995933533
0,ST-SAM,-5,Color1_000596,Colour,0.9331087470054626,0.8746052980422974,0.8926571011361423,0.9774006552148701,3.605551242828369,0.7743639349937439
0,ST-SAM,-5,Color1_000195,Colour,0.9301774501800537,0.8694688677787781,0.8796309908527039,0.9868871386339991,9.0,2.1430766582489014
0,ST-SAM,-5,Color1_000546,Colour,0.9416484236717224,0.889731228351593,0.9102767494350188,0.975259678850306,2.8284270763397217,0.7837839126586914
0,ST-SAM,-5,Color1_000585,Colour,0.91696697473526,0.8466657996177673,0.9074760472125689,0.926658573096718,7.049744129180908,1.3467319011688232
0,ST-SAM,-5,Color1_000205,Colour,0.9217764735221863,0.8549029231071472,0.8903404093844567,0.9555136154009822,2.8284270763397217,0.599066972732544
0,ST-SAM,-5,Color1_000420,Colour,0.9410578012466431,0.888677179813385,0.9648651591243561,0.9183969597195233,5.656854152679443,1.524498701095581
0,ST-SAM,-5,Color1_000047,Colour,0.924555242061615,0.8596956729888916,0.879544504713796,0.974421296183516,7.761630535125732,0.7767553329467773
0,ST-SAM,-5,Color1_000432,Colour,0.9116434454917908,0.8376330733299255,0.8516706567240896,0.9807023851155816,4.123105525970459,0.9070276618003845
0,ST-SAM,-5,Color1_000641,Colour,0.9183184504508972,0.8489730358123779,0.865028319010749,0.9786055602759985,5.0,0.8120928406715393
0,ST-SAM,-5,Color1_000120,Colour,0.8804971575737,0.7865073084831238,0.8593049939427765,0.9027610354800091,7.6157732009887695,2.1078667640686035
0,ST-SAM,-5,Color1_000413,Colour,0.8903020620346069,0.8022922873497009,0.8124352330764315,0.9846772166560315,7.0,1.6533247232437134
0,ST-SAM,-5,Color1_000512,Colour,0.947891354560852,0.9009443521499634,0.9119103286403583,0.9868283970094636,7.0,0.9449908137321472
0,ST-SAM,-5,Color1_000277,Colour,0.9530983567237854,0.9103991985321045,0.9273143176823064,0.9803573190711501,6.352052688598633,0.9035257697105408
0,ST-SAM,-5,Color1_000687,Colour,0.9289334416389465,0.8672976493835449,0.8887742467097839,0.9728936072991988,4.0,1.0468857288360596
0,ST-SAM,-5,Color1_000775,Colour,0.9101341962814331,0.8350883722305298,0.8721400580917621,0.9515895454829605,7.0,1.9558433294296265
0,ST-SAM,-5,Color1_000191,Colour,0.8937201499938965,0.8078608512878418,0.8439802560380585,0.9496900908838694,11.704699516296387,2.346874713897705
0,ST-SAM,-5,Color1_000159,Colour,0.8506126999855042,0.7400575280189514,0.8483932983113449,0.852843732508878,6.106204509735107,1.42610502243042
0,ST-SAM,-5,Color1_000414,Colour,0.9158654808998108,0.8447895050048828,0.8594226142053389,0.9802433000109536,8.043577194213867,0.8633241653442383
0,ST-SAM,-5,Color1_000799,Colour,0.9636672735214233,0.9298821687698364,0.9565128955757662,0.970929512285959,2.8284270763397217,0.9423157572746277
0,ST-SAM,-5,Color1_000528,Colour,0.8648278713226318,0.7618473768234253,0.7855072460515499,0.961967545151132,6.082762718200684,0.7626497149467468
0,ST-SAM,-5,Color1_000131,Colour,0.9468904733657837,0.8991376757621765,0.9308299256504734,0.9635149635767548,3.7041635513305664,0.9936465620994568
0,ST-SAM,-5,Color1_000117,Colour,0.8335834741592407,0.7146533131599426,0.7263876778950322,0.9778951484785025,9.219544410705566,1.0517032146453857
0,ST-SAM,-5,Color1_000096,Colour,0.8983467817306519,0.8154533505439758,0.8474274189368497,0.9557765551758476,13.928388595581055,3.4883430004119873
