Fold,Model,Padding,Image_ID,Modality,Dice,HD95
0,ST-SAM,-5,Color1_000034,Colour,0.8980433344841003,5.385164737701416
0,ST-SAM,-5,Color1_000807,Colour,0.9308109879493713,7.6157732009887695
0,ST-SAM,-5,Color1_000699,Colour,0.9448519945144653,3.605551242828369
0,ST-SAM,-5,Color1_000668,Colour,0.8519126176834106,21.713605880737305
0,ST-SAM,-5,Color1_000100,Colour,0.9234849810600281,4.0
0,ST-SAM,-5,Color1_000325,Colour,0.9299337863922119,4.524909496307373
0,ST-SAM,-5,Color1_000657,Colour,0.9212684631347656,4.123105525970459
0,ST-SAM,-5,Color1_000306,Colour,0.9340324401855469,11.0
0,ST-SAM,-5,Color1_000123,Colour,0.9367935061454773,4.123105525970459
0,ST-SAM,-5,Color1_000045,Colour,0.9230539202690125,6.0
0,ST-SAM,-5,Color1_000155,Colour,0.9296836256980896,3.0
0,ST-SAM,-5,Color1_000220,Colour,0.9253532290458679,4.437705993652344
0,ST-SAM,-5,Color1_000544,Colour,0.8998562097549438,6.7082037925720215
0,ST-SAM,-5,Color1_000819,Colour,0.8626633882522583,8.5440034866333
0,ST-SAM,-5,Color1_000384,Colour,0.9349867701530457,9.848857879638672
0,ST-SAM,-5,Color1_000166,Colour,0.9514999389648438,3.0
0,ST-SAM,-5,Color1_000345,Colour,0.9192068576812744,6.0
0,ST-SAM,-5,Color1_000183,Colour,0.9214231371879578,10.197322845458984
0,ST-SAM,-5,Color1_000148,Colour,0.9320895671844482,5.525435447692871
0,ST-SAM,-5,Color1_000569,Colour,0.8986595273017883,6.4031243324279785
0,ST-SAM,-5,Color1_000194,Colour,0.902198076248169,6.17948579788208
0,ST-SAM,-5,Color1_000053,Colour,0.8661038875579834,9.504907608032227
0,ST-SAM,-5,Color1_000611,Colour,0.9319977760314941,3.0
0,ST-SAM,-5,Color1_000449,Colour,0.9201130867004395,9.219544410705566
0,ST-SAM,-5,Color1_000075,Colour,0.9221063852310181,9.476258277893066
0,ST-SAM,-5,Color1_000430,Colour,0.8714385628700256,9.486832618713379
